Heard of LeBron James,Knows who LeBron James is,Thinks they know LeBron sport,Knows LeBron plays Basketball,Thinks they know LeBron team,Team LeBron plays for,Thinks LeBron is the GOAT
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,No,Other,No
Yes,Yes,Yes,Yes,Yes,Lakers,No
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,No,Other,No
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,No
Yes,Yes,Yes,Yes,No,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,No
Yes,Yes,Yes,Yes,No,Other,No
Yes,Yes,Yes,Yes,Yes,Lakers,No
Yes,Yes,Yes,Yes,No,Other,No
Yes,Yes,Yes,Yes,No,Lakers,No
Yes,Yes,Yes,Yes,No,Lakers,No
Yes,Yes,Yes,Yes,No,Other,No
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,No,Yes,No,Other,No
No,No,No,No,No,Other,No
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,No,Lakers,No
Yes,Yes,Yes,Yes,No,Lakers,Yes
Yes,Yes,Yes,Yes,No,Lakers,No
Yes,Yes,Yes,Yes,Yes,Lakers,No
Yes,Yes,Yes,Yes,No,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,No
No,No,No,No,No,Other,No
Yes,Yes,Yes,Yes,No,Lakers,No
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Other,No
Yes,Yes,Yes,Yes,No,Other,No
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,No,Yes,Other,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,Yes
Yes,Yes,Yes,Yes,Yes,Lakers,No
Yes,Yes,Yes,Yes,Yes,Lakers,No
Yes,Yes,Yes,Yes,Yes,Lakers,No
